food_name,tag_name,serving_unit,serving_qty,nf_calories
franks red hot sauce,franks red hot,tsp,1,0
ball park beef franks,ball park beef franks,frankfurter,1,154.56
ballpark cheese franks,ballpark cheese frank,g,53,180
franks buffalo wing sauce,franks red hot buffalo wing sauce,tbsp.,1,0
hebrew national beef franks,hebrew national beef franks,frank,1,45
franks red hot buffalo wing sauce,franks red hot buffalo wing sauce,tbsp.,1,0
franks redhot cayenne pepper sauce original,franks redhot cayenne pepper sauce original,tsp,1,0
fondue,fondue,serving,1,144.29
cheese fondue,fondue,serving,1,144.29
fondu creusois,fondu creusois,cup,1,577.11
fondue creusois,fondu creusois,cup,1,577.11
frenchee,cheese frenchee,piece (1/4 sandwich),1,204.26
french 75,french 75,cocktail,1,160.2
french fry,french fries,serving medium,1,365.04
frenchfries,french fries,serving medium,1,365.04
french fries,french fries,serving medium,1,365.04
french toast,french toast,slice without syrup,1,219.42
french onion soup,french onion soup,crock,1,478.33
wendy french fries,wendy's french fries,medium Serving,1,427.42
large french fries,large french fries,serving large,1,480.48
small french fries,"french fries, small",small,1,221.52
frozen french fries,baked french fries,fries,10,120.08
cheese french fries,cheese fries,cup,1,281.29
del taco french fries,del taco fries,g,170,320
french fries mcdonalds,mcdonald's fries,medium serving,1,377.91
french vanilla creamer,french vanilla coffee creamer,tbsp,1,37.65
sweet potato french fries,sweet potato fries,fries,10,149.31
mcdonalds small french fries,mcdonald's small fries,fries,1,230
mcdonalds medium french fries,mcdonald's medium fries,medium serving,1,377.91
whataburger french fries medium,whataburger french fries medium,grams,128,420
toast,toast,slice,1,63.8
rye toast,rye bread,"slice, regular",1,82.88
egg toast,egg toast,egg on toast,1,?
wheat toast,wheat toast,oz,1,?
melba toast,melba toast,oz,0.5,55.38
white toast,white toast,slice,1,63.8
texas toast,texas toast,slice,1,122.5
garlic toast,garlic bread,slice presliced,1,150.5
raisin toast,"raisin bread, toasted",slice,1,71.28
buttered toast,toast with butter,piece,1,111.05
wholemeal toast,whole wheat toast,oz,1,86.75
toasted ravioli,toasted ravioli,piece with sauce,1,98.39
sourdough toast,sourdough toast,"slice, medium",1,188.21
toaster strudel,toaster strudel,pastry,1,197.5
cinnamon toaster,cinnamon toast crunch cereal,cup,0.75,127.1
whole wheat toast,whole wheat toast,oz,1,86.75
whole grain toast,whole wheat toast,oz,1,86.75
cinnamon toast crunch,cinnamon toast crunch cereal,cup,0.75,127.1
dip,veggie dip,tablespoons,2,87.79
crab dip,crab dip,serving,1,497.99
dill dip,dill dressing,tablespoons,2,93.06
deans dip,dean's dip,tbsp,2,59.32
ranch dip,ranch dip,tablespoons,2,129
queso dip,queso,tbsp,2,70.74
veggie dip,veggie dip,tablespoons,2,87.79
cheese dip,cheese dip,cup,0.25,109.62
spinach dip,spinach dip,tbsp,2,72.97
eggplant dip,eggplant dip,tbsp,2,39.1
guacamole dip,guacamole,tbsp,2,45.26
olive oil dip,olive oil bread dip,tbsp,2,148.17
sour cream dip,veggie dip,tablespoons,2,87.79
7 layer bean dip,7 layer bean dip,cup,0.25,62.04
cream cheese dip,cream cheese dip,tbsp,2,101.5
ranch dressing dip,ranch dip,tablespoons,2,129
garlic,garlic,clove,1,4.47
garlic naan,garlic naan,piece,1,261.9
garlic salt,garlic salt,tsp,0.25,1.25
garlic knot,garlic knot,knot,1,112.88
garlic clove,garlic,clove,1,4.47
garlic pasta,garlic pasta,serving,1,382.73
clove garlic,garlic,clove,1,4.47
garlic sauce,garlic sauce,tbsp,1,20.71
garlic fries,garlic truffle fries,order,1,501.26
garlic wings,garlic wings,wingette or drummette,1,98.64
garlic powder,garlic powder,tsp,1,10.26
minced garlic,minced garlic,tsp,1,4.17
garlic cloves,garlic,clove,1,4.47
cloves garlic,garlic,clove,1,4.47
garlic fingers,garlic fingers,individual pie,1,676.82
garlic olive oil,garlic oil,tbsp,1,123.51
garlic mayonnaise,garlic mayonnaise,cup,1,1507.98
granulated garlic,garlic powder,tsp,1,10.26
garlic mashed potatoes,garlic mashed potatoes,cup,1,251.62
ginger,raw ginger,tsp,1,1.6
gingerale,ginger ale,can or bottle (12 fl oz),1,124.44
gingernuts,ginger snaps,cookie,1,29.12
ginger ale,ginger ale,can or bottle (12 fl oz),1,124.44
gingersnap,ginger snaps,cookie,1,29.12
ginger tea,ginger tea,cup (8 fl oz),1,2.37
ginger root,raw ginger,tsp,1,1.6
gingerbread,gingerbread,piece,1,219.37
ginger salad,ginger salad,cups,2,119.42
fresh ginger,raw ginger,tsp,1,?
ground ginger,ground ginger,tsp,1,?
ginger ground,ground ginger,tsp,1,6.03
pickled ginger,pickled ginger,tbsp,2,26.76
ginger dressing,ginger dressing,serving,1,88.7
gingerbread house,gingerbread house,serving,1,126.03
ginger ginger ale,ginger ginger ale,fl oz,6,50
ginger garlic sauce,ginger garlic sauce,tbsp,1,20.71
crystallized ginger,candied ginger,recipe,1,2600.72
sweet ginger garlic sauce,sweet ginger garlic sauce,tbsp,1,20.71
gnocchi,gnocchi,cup,1,254.42
gnocchi pesto,Pesto Gnocchi,Cup,1,442.64
pesto gnocchi,Pesto Gnocchi,Cup,1,442.64
potato gnocchi,gnocchi,cup,1,254.42
ricotta gnocchi,ricotta gnocchi,serving,1,477.05
chicken gnocchi soup,chicken gnocchi soup,bowl (2 cups),1,405.37
chicken and gnocchi soup,chicken gnocchi soup,bowl (2 cups),1,405.37
creamy chicken gnocchi soup,chicken gnocchi soup,bowl (2 cups),1,405.37
creamy chicken and gnocchi soup,chicken gnocchi soup,bowl (2 cups),1,405.37
olive garden chicken and gnocchi soup,olive garden chicken and gnocchi soup,serving,1,230
goose,goose,"oz, cooked",3,259.25
goose egg,goose egg,egg,1,266.4
gooseberry,gooseberries,cup,1,66
goose meat,goose,"oz, cooked",3,259.25
goose liver,foie gras,tbsp,1,60.06
roast goose,goose,"oz, cooked",3,259.25
goose island,goose island ipa,bottle,1,196.85
gooseberries,gooseberries,cup,1,66
roasted goose,goose,"oz, cooked",3,259.25
cape gooseberry,cape gooseberry,cup,1,74.2
goose rillettes,goose rillettes,cup,0.25,156.6
goose island ipa,goose island ipa,bottle,1,196.85
grey goose vodka,grey goose vodka,oz,1,69
goose liver pate,foie gras,tbsp,1,60.06
goose island ipas,goose island ipa,bottle,1,196.85
cape gooseberries,cape gooseberry,cup,1,74.2
german martinmas goose,german roast martinmas goose,cup,1,340.93
german christmas goose,german christmas goose,cup,1,340.93
goose rillettes with buckwheat crepe,goose rillettes with buckwheat crepes,cup rillettes with crepe,0.5,473.01
granola,granola,cup,0.5,298.29
granolas,granola,cup,0.5,298.29
granola bar,chewy granola bar,bar (1 oz),1,117.04
granola bars,chewy granola bar,bar (1 oz),1,117.04
granola hemp,hemp granola,cup,1,596.58
hemp granola,hemp granola,cup,1,596.58
quaker granola,quaker granola,cup,1,420.24
raisin granola,quaker granola,cup,1,420.24
coconut granola,coconut granola,cup,0.5,299.56
protein granola,granola cereal with protein added,serving,1,?
homemade granola,homemade granola,cup,0.5,?
chewy granola bar,chewy granola bar,bar (1 oz),1,117.04
granola cranberry,"granola, apple cranberry almond",cup,1,409.64
gluten free granola,granola cereal,cup,1,404.16
crunchy granola bars,granola bar,bar (1 oz),1,117.04
chocolate granola bar,chocolate chip granola bar,bar (1 oz),1,?
peanut butter granola bar,peanut butter granola bar,bar (1 oz),1,?
nature valley granola chocolate,nature valley protein oats 'n dark chocolate,scoop,1,210
grapes,grape,grapes,10,33.81
grapeseed,grapeseed oil,tablespoon,1,120.22
red grapes,red grapes,grapes,10,33.81
green grapes,green grapes,grapes,10,33.81
purple grapes,Concord/purple grapes,grapes,10,33.81
frozen grapes,frozen grapes,grapes,10,33.81
salata grapes,salata grapes,oz,1,20
grapeseed oil,grapeseed oil,tablespoon,1,120.22
champagne grapes,champagne grapes,grapes,10,33.81
red seeded grapes,red grapes,grapes,10,?
red seedless grapes,red grapes,grapes,10,?
cotton candy grapes,cotton candy grapes,grapes,10,33.81
grapes red seedless,red grapes,grapes,10,33.81
green seedless grapes,green grapes,grapes,10,33.81
wawa grocery red grapes,wawa grocery red grapes,grapes,10,117.37
scarlotta seedless grapes,scarlotta seedless grapes,cup,1.5,90
chicken salad with grapes,chicken salad with grapes,cup,1,535.33
golden corral green grapes,golden corral green grapes,Serving,1,35
scarlotta seedless red seedless grapes,scarlotta seedless red seedless grapes,cup,1.5,90
greens,greens,"cup, chopped",1,62.7
green tea,green tea,cup,1,2.45
green bean,green beans,bean,1,2.24
green olive,green olive,olive,1,3.92
green salad,salad mix,serving,1,19.99
green onion,green onion,"medium (4-1/8"" long)",1,4.8
green onions,green onion,"medium (4-1/8"" long)",1,4.8
greens salad,mixed greens salad,cups,2,198.63
green olives,green olive,olive,1,3.92
salad greens,salad greens,oz,3,24.02
green tomato,green tomato,medium,1,28.29
green pepper,green pepper,pepper,1,31.92
mixed greens,mixed greens,cup,1,9.08
green bell pepper,"green bell pepper, sweet",pepper,1,31.92
green leaf lettuce,green leaf lettuce,cup shredded,1,5.4
gumbo,gumbo,bowl (2 cups),1,297.01
okra gumbo,okra gumbo,cup,1,145.27
gumbo soup,chicken gumbo soup,"can (10.75 oz), prepared",1,136.39
shrimp gumbo,shrimp gumbo,bowl (2 cups),1,423.42
veggie gumbo,vegetable gumbo,bowl (2 cups),1,182.66
chicken gumbo,chicken gumbo,bowl (2 cups),1,442.48
seafood gumbo,gumbo,bowl (2 cups),1,297.01
vegetable gumbo,vegetable gumbo,bowl (2 cups),1,182.66
vegetarian gumbo,vegetable gumbo,bowl (2 cups),1,182.66
chicken gumbo soup,chicken gumbo soup,"can (10.75 oz), prepared",1,136.39
chicken sausage gumbo,chicken gumbo,bowl (2 cups),1,442.48
vegetarian okra gumbo,okra gumbo,cup,1,145.27
can chicken gumbo soup,chicken gumbo soup,"can (10.75 oz), prepared",1,136.39
chicken gumbo over rice,chicken gumbo,bowl (2 cups),1,442.48
chicken gumbo with rice,chicken gumbo,bowl (2 cups),1,442.48
canned chicken gumbo soup,chicken gumbo soup,"can (10.75 oz), prepared",1,136.39
chicken and sausage gumbo,chicken gumbo,bowl (2 cups),1,442.48
chicken sausage gumbo with rice,chicken gumbo,bowl (2 cups),1,442.48
chicken sausage gumbo over rice,chicken gumbo,bowl (2 cups),1,442.48
grits,grits,cup,1,151.45
dry grits,dry grits,cup,1,?
grits dry,dry grits,cup,1,625.6
zea grits,zea corn grits,cup,1,668.22
corn grits,corn grits,cup,1,151.45
quaker grits,quaker grits,cup,0.25,130
cheese grits,cheese grits,cup,1,346.7
yellow grits,yellow grits,cup,1,151.45
cooked grits,cooked grits,cup,1,151.45
butter grits,buttered grits,cup,1,253.17
grits cooked,cooked grits,cup,1,151.45
instant grits,"instant grits, plain",packet,1,99.9
cheddar grits,cheese grits,cup,1,346.7
shrimp and grits,shrimp and grits,cups,2,716.17
yellow corn grits,yellow corn grits,cup,1,151.45
quaker butter grits,"quaker instant grits, butter flavor","packet, prepared",1,100
cooked yellow grits,cooked yellow grits,cup,1,?
butter flavored grits,butter grits,cup,1,?
butter flavor grits dry,"butter flavor grits, dry",packet (1 NLEA serving),1,103.32
quaker instant butter grits,"quaker instant grits, butter flavor","packet, prepared",1,100
graham,graham cracker,cracker,1,64.5
honey graham,honey graham cracker,cracker,1,64.5
honey grahams,honey graham cracker,cracker,1,64.5
graham cracker,graham cracker,cracker,1,64.5
golden grahams,golden grahams,cup,0.75,120
graham crackers,graham cracker,cracker,1,64.5
graham cracker crust,graham cracker crust,crust,1,916.83
honey graham cracker,honey graham cracker,cracker,1,64.5
golden grahams cereal,golden grahams,cup,0.75,120
honey graham crackers,honey graham cracker,cracker,1,64.5
graham cracker crumbs,graham cracker crumbs,tbsp,5,133.3
crushed graham cracker,graham cracker crumbs,tbsp,5,133.3
crushed graham crackers,graham cracker crumbs,tbsp,5,133.3
pamelas cinnamon grahams,pamela's cinnamon graham crackers,pieces,2,180
chocolate graham cracker,chocolate graham cracker,full cracker sheet,1,67.12
honey maid grahams honey,honey maid grahams honey,crackers,8,130
chocolate graham crackers,chocolate graham cracker,full cracker sheet,1,67.12
vanilla cupcake goldfish grahams,vanilla cupcake goldfish grahams,pieces,35,140
pamelas cinnamon graham crackers,pamela's cinnamon graham crackers,pieces,2,180
crushed cinnamon graham crackers,graham cracker crumbs,tbsp,5,133.3
crackers,cracker,cracker,1,20.4
soda crackers,soda cracker,cracker square,1,?
pita crackers,pita chip,oz,1,129.56
rice crackers,rice crackers,cracker,1,7.84
club crackers,club cracker,crackers,4,68.04
ritz crackers,ritz crackers,cracker,1,?
wheat crackers,wheat crackers,cracker,1,?
water crackers,water crackers,cracker 1 serving,4,53.76
cream crackers,cream cracker,cracker,1,?
cheese crackers,cheese cracker,"cup, bite size",1,?
animal crackers,animal cracker,cookie,1,?
saltine crackers,saltine,cracker square,1,?
goldfish crackers,goldfish crackers,pieces,55,137.1
sandwich crackers,Sandwich crackers,cracker,1,34.65
cheese and crackers,cheese and crackers,crackers with cheese,4,179.01
multigrain crackers,multigrain crackers,crackers,4,67.48
whole wheat crackers,whole wheat cracker,cracker,1,19.64
saltines salted crackers,saltines salted crackers,crackers,5,60
keebler club crackers original,keebler club crackers original,crackers,4,70
ham,ham,"cup, diced",1,186.26
hamhock,ham hock,hock,1,118.32
hamloaf,hamloaf,slice,1,262.17
deli ham,deli ham,oz,2,23
hamsteak,ham steak,oz,1,34.59
hamantash,hamantaschen,pastry,1,268.39
honey ham,honey baked ham,oz (1 serving),1.94,67.1
ham salad,ham salad,tbsp,1,32.4
hamburger,hamburger,sandwich,1,540.14
sliced ham,sliced ham,medium slice,1,58.38
hamburgers,hamburger,sandwich,1,540.14
country ham,ham,"cup, diced",1,186.26
ham sandwich,ham sandwich,sandwich,1,409.3
hamburger bun,hamburger bun,hamburger bun,1,128.34
hamburger taco,beef taco,taco,1,293.46
lean hamburger,lean hamburger,oz,3,195.5
hamburger meat,ground beef,"oz, cooked",4,308.45
hamburger patty,hamburger patty,oz,3,197.2
double hamburger,double hamburger,item,1,354
cheeseburger macaroni hamburger helper,hamburger helper,sandwich,1,321.46
halibut,halibut,oz,3,94.35
halibut raw,"halibut, raw",oz,3,77.35
raw halibut,"halibut, raw",oz,3,77.35
"halibut, raw","halibut, raw",oz,3,?
halibut burrito,fish burrito,large burrito,1,999.24
soy hamburger,soy hamburger,veggie burger on bun,1,364.75
beef hamburger,hamburger,sandwich,1,540.14
hamburger soup,cheeseburger soup,bowl (2 cups),1,615.19
hamburger buns,hamburger bun,hamburger bun,1,128.34
hamburger pattie,hamburger patty,oz,3,197.2
turkey hamburger,turkey burger,burger on bun,1,554.07
grilled hamburger,hamburger,sandwich,1,540.14
mcdonalds hamburger,mcdonald's hamburger,sandwich,1,250.8
fast food hamburger,fast food hamburger,sandwich,1,540.14
hamburger helper mix,"cheeseburger macaroni mix, unprepared",cup,0.25,115.17
burger king hamburger,burger king hamburger,Serving,1,240
cheeseburgers,cheeseburger,item,1,?
double cheeseburgers,mcdonald's double cheeseburger,sandwich,1,437.1
honey,honey,tbsp,1,63.84
honeybun,honey bun,pastry,1,384.2
honeydew,honeydew,"melon (6"" - 7"" dia)",1,460.8
honeycake,honey cake,piece,1,329.93
honeycomb,honeycomb cereal,cup (1 NLEA serving),1.5,126.08
honeycrisp,honeycrisp apple,"medium (3"" dia)",1,94.64
honey nuts,honey roasted peanuts,pieces,39,163.74
honey turkey,honey turkey,oz,2,63.5
honey mustard,honey mustard,tbsp,2,139.2
honey bunches,honey bunches of oats cereal,cup,1,160.4
honey cashews,honey roasted cashews,cashew,1,6.17
honey chicken,asian honey chicken,cup,1,465.82
honeybaked ham,honey baked ham,oz (1 serving),1.94,67.1
honey cheerios,honey nut cheerios,cup,1,140.36
honeycrisp apple,honeycrisp apple,"medium (3"" dia)",1,94.64
honey mustard dressing,honey dijon,tbsp,2,139.2
honey gardens raw honey,honey gardens raw honey,tbsp,1,60
steak rancheros,bistec ranchero,cup,1,320.79
huevos rancheros,huevos rancheros,serving,1,643.79
bistec rancheros,bistec ranchero,cup,1,320.79
heuvos rancheros,huevos rancheros,serving,1,643.79
hash,corned beef hash,cup,1,387.04
hashbrown,hash brown,patty,1,144.16
hashbrowns,hash brown,patty,1,144.16
hash brown,hash brown,patty,1,144.16
hash browns,hash brown,patty,1,144.16
potato hash,potato hash,cup,1,157.14
corned beef hash,corned beef hash,cup,1,387.04
ihop hash browns,ihop hash browns,serving,1,280
hashbrown nuggets,hash brown nuggets,nuggets,10,151.68
cheesy hashbrowns,hashbrown casserole,cup,0.5,261.33
hashbrown casserole,hashbrown casserole,cup,0.5,261.33
mcdonalds hashbrown,mcdonald's hash brown,hash brown,1,150
hash brown casserole,hashbrown casserole,cup,0.5,261.33
mcdonalds hashbrowns,mcdonald's hash brown,hash brown,1,150
triangle hash browns,triangle hash brown,patty,1,99.65
mcdonalds hash brown,mcdonald's hash brown,hash brown,1,150
cauliflower hashbrown,cauliflower hash brown,patty,1,130.85
mcdonalds hash browns,mcdonald's hash brown,hash brown,1,150
burger king hash browns,burger king hash browns,piece,1,16.91
fareway shredded hash browns,fareway shredded hash browns,cup,1,60
hash browns cheese,hashbrown casserole,cup,0.5,261.33
cheesy hash browns,hashbrown casserole,cup,0.5,261.33
frozen hash browns,Frozen hash browns,"patty, oval",1,63.51
company hash browns,company potatoes,cup,1,289.71
potatoes hash browns,hash brown,patty,1,144.16
tri tater hash browns,simplot tri-taters,patty,1,99.65
hash browns casserole,hashbrown casserole,cup,0.5,261.33
mcdonald's hash browns,mcdonald's hash brown,hash brown,1,?
chick fil a hash browns,chick fil a hash browns,serving,1,240
dennys hash browns shredded,dennys hash browns shredded,oz,3,80
uncooked frozen hash browns,"frozen hash browns, unprepared",cup,0.5,86.1
burger king hash browns small,burger king hash browns small,Serving,1,250
"frozen hash browns, unprepared","frozen hash browns, unprepared",cup,0.5,?
hots,"red hot chili pepper, canned",pepper,1,15.33
hotdog,hot dog,frankfurter,1,154.56
hotpot,hot pot,serving (about 2 cups),1,622.03
hot tea,tea,fl oz,6,1.78
hot dog,hot dog,frankfurter,1,154.56
hotdogs,hot dog,frankfurter,1,154.56
hotteok,hotteok,piece,1,197.3
hot fudge,hot fudge,tbsp,2,133
hot salsa,salsa,tbsp,2,10.44
hot sauce,hot pepper sauce,tsp,1,0.52
hot wings,buffalo chicken wings,wingette or drummette,1,87.74
hot cocoa,hot cocoa,cup,1,150.92
hotdog bun,"buns, hot dog",roll 1 serving,1,145.08
hot dog bun,"buns, hot dog",roll 1 serving,1,145.08
hot sausage,hot sausage,link,1,258
hot peanuts,hot peanuts,cup,0.25,244.33
hot cheetos,flaming hot cheetos,pieces,21,170
hot chocolate,hot cocoa,cup,1,150.92
costco hotdog,hot dog on a bun,hot dog,1,315.97
hot and sour soup,hot and sour soup,cup,1,90.87
hot dogs,hot dog,frankfurter,1,154.56
corn dogs,corn dog,corndog,1,460.25
devil dogs,drake's devil dogs,cake,1,180
chili dogs,chili dog,chili dog,1,296.4
smart dogs,lightlife smart dog,link,1,50
veggie dogs,vegetarian hot dog,link,1,54.09
hot dogs buns,"buns, hot dog",roll 1 serving,1,145.08
pork hot dogs,pork hot dog,link,1,204.44
mini corn dogs,mini corn dogs,corndog mini,1,42.5
sonic corn dogs,sonic corn dog,hot dog,1,230
cheese hot dogs,cheese frank,frankfurter,1,189.56
chicken hot dogs,chicken hot dog,link,1,100.35
cheddar hot dogs,cheddar frank,frankfurter,1,189.56
chicago hot dogs,chicago style hot dog,hot dog,1,378.55
veggie corn dogs,vegetarian corn dog,dog,1,147.68
drakes devil dogs,drake's devil dogs,cake,1,180
chicken corn dogs,chicken corn dog,corn dog,1,193.45
chicago style dogs,chicago style hot dog,hot dog,1,378.55
mini crescent dogs,mini crescent dog,cocktail size,1,62.1
carnival dogs corndogs,carnival dogs corndogs,corn dog,1,200
hummus,hummus,cup,0.25,99.6
hummus dip,hummus,cup,0.25,99.6
hummus wrap,hummus wrap,wrap,1,401.63
hummus pita,hummus and pita,pita with hummus,1,267.09
hummus chips,hummus chips,oz,1,126.28
spicy hummus,spicy hummus,cup,0.25,99.6
lemon hummus,lemon hummus,cup,0.25,99.6
olive hummus,olive hummus,tbsp,2,61.67
tribe hummus,tribe hummus,cup,0.25,?
garlic hummus,garlic hummus,cup,0.25,?
hummus garlic,garlic hummus,cup,0.25,99.6
edamame hummus,edamame hummus,cup,0.25,99.6
eggplant hummus,eggplant hummus,tbsp,1,17.18
hummus dressing,hummus dressing,tbsp,2,95.44
hummus and pita,hummus and pita,pita with hummus,1,267.09
jalapeno hummus,jalapeno cilantro hummus,cup,0.25,99.6
black bean hummus,black bean hummus,tablespoons,2,39.14
tomato basil hummus,tomato basil hummus,cup,0.25,70.08
trader joes tomato basil hummus,tomato basil hummus,cup,0.25,70.08
ice,Ice,oz,1,0
iceberg,iceberg lettuce,"cup, chopped",1,7.98
ice tea,iced tea,cup (8 fl oz),1,2.37
icecream,ice cream,cup,1,273.24
iced tea,iced tea,cup (8 fl oz),1,2.37
ice cream,ice cream,cup,1,273.24
smirnoff ice,smirnoff ice,fl oz,11.2,227.8
ice cream bar,ice cream bar,bar,1,165.5
ice cream cone,ice cream cone,single cone,1,274.11
iceberg lettuce,iceberg lettuce,"cup, chopped",1,7.98
vanilla ice cream,vanilla ice cream,cup,1,273.24
coconut ice cream,coconut ice cream,cup,1,279.38
ice cream sandwich,ice cream sandwich,serving,1,165.9
chocolate ice cream,chocolate ice cream,cup,1,285.12
iceberg lettuce leaf,iceberg lettuce leaves,"cup, chopped (1/2"" pieces, loosely packed)",1,7.98
iced coffee with cream,iced coffee with cream,fl oz,16,70.55
cream,cream,fl oz,1,101.32
creamer,liquid creamer,tbsp,1,20.4
sour cream,sour cream,tbsp,1,23.76
heavy cream,cream,fl oz,1,101.32
coffee cream,coffee cream,fl oz,1,57.3
coconut cream,coconut cream,tbsp,1,67.83
whipped cream,whipped cream,tbsp,2,15.42
whipping cream,cream,fl oz,1,101.32
creamed spinach,creamed spinach,serving,1,122.67
coffee with creamer,coffee with creamer,cup,1,43.17
heavy whipping cream,cream,fl oz,1,101.32
philadelphia cream cheese,philadelphia cream cheese,tbsp,2,101.5
irish taco,corned beef taco,taco,1,363.28
irish cream,irish cream,fl oz,1,107.18
irish tacos,corned beef taco,taco,1,363.28
irish coffee,irish coffee,cocktail,1,228
irish eggroll,irish egg roll,roll,1,442.51
nutty irishman,nutty irishman,cocktail,1,360.35
irish egg roll,irish egg roll,roll,1,442.51
irish egg rolls,irish egg roll,roll,1,442.51
hot nutty irishman,nutty irishman,cocktail,1,360.35
irish cream liquor,irish cream,fl oz,1,107.18
killian's irish red,killian's irish red,can or bottle,1,?
irish cream creamer,irish cream creamer,tbsp,1,37.65
baileys irish cream,bailey's irish cream,fl oz,1,107.18
baileys irish creamer,baileys coffee creamer,tbsp,1,25.08
irish coffee cocktail,irish coffee,cocktail,1,228
jameson irish whiskey,jameson whiskey,shot,1,97.02
nutty irishman cocktail,nutty irishman,cocktail,1,360.35
breadsmith irish soda bread,breadsmith irish soda bread,loaf,0.07,160
baileys irish cream hot chocolate,alcoholic hot chocolate,cocktail,1,455.47
stew,beef stew,bowl,1,535.1
cod stew,cod stew,bowl (2 cups),1,209.56
stew meat,beef stew meat,oz,3,162.35
pork stew,pork stew,bowl,1,603.73
stew beef,beef stew meat,oz,3,162.35
goat stew,goat stew,bowl (2 cups),1,561.79
beef stew,beef stew,bowl,1,?
lentil stew,lentil stew,bowl (2 cups),1,?
stewed okra,stewed okra,cup,1,90.06
seafood stew,seafood stew,cups,2,537.34
chicken stew,chicken stew,serving,1,386.4
zucchini stew,zucchini stew,cup,1,162.36
stewed lentils,lentil stew,bowl (2 cups),1,240.82
vegetable stew,vegetable stew,bowl (2 cups),1,159.06
beef stew meat,beef stew meat,oz,3,162.35
brunswick stew,brunswick stew,bowl (2 cups),1,574.22
stewed chicken,stewed chicken,unit (yield from 1 lb ready-to-cook chicken),1,507.3
stewed tomatoes,canned stewed tomatoes,cup,1,66.3
minced meat stew,mince stew,cup,1,323.49
indian food,indian food,cup,1,324.27
indian rasam,rasam,serving,1,64
indian kootu,kootu,serving,1,393.07
indian ladoo,ladoo,piece,1,211.39
indian halwa,halwa,cup,1,275.44
indian buffet,indian food,cup,1,324.27
indian cuisine,chicken tikka masala,cups,2,706.73
indian frybread,indian frybread,piece,1,501.6
indian breakfast,upma,cup,1,132.38
indian fry bread,fry bread,piece,1,501.6
indian curd rice,curd rice,cup,1,206.56
indian buffalo milk,indian buffalo milk,cup,1,236.68
indian pureed mango,aamras,cup,1,164.99
indian simmer sauce,indian simmer sauce,cup,1,268.01
indian cabbage curry,cabbage fry,cup,1,80.94
indian tamarind rice,pulihora,cup,1,344.32
indian onion fritter,onion bhaji,bhaji,1,115.3
indian spicy potatoes,lasaniya batata,cup,1,268.95
indian chilli chicken,chilli chicken,cup,1,276.76
indian masala simmer sauce,indian masala simmer sauce,cup,1,268.01
baby food,baby food,tbsp,1,8.16
phish food,phish food ice cream,serving,1,289.36
mexican food,mexican food,meal,1,1034.27
chinese food,chinese food,meal,1,1060.44
reindeer food,puppy chow,cup,0.33,127.49
ethiopian food,ethiopian platter,platter,1,880.63
angel foodcake,angelfood cake,piece (1/12 of 12 oz cake),1,72.24
best foods mayo,best foods mayonnaise,tbsp,1,90
baby food cereal,baby food cereal,oz,1,27.22
mediterranean food,tapas,meal,1,938.09
winco foods ketchup,winco foods ketchup,tbsp,1,20
food club onion rings,food club onion rings,pieces,6,110
olive oil best foods mayo,best foods olive oil mayonnaise,tbsp,1,60
fast food strawberry sundae,strawberry sundae,sundae,1,267.75
1 superone foods hotdog buns,1 superone foods hotdog buns,bun,1,110
costco food court fruit smoothie,costco food court fruit smoothie,oz,15,240
barber foods stuffed chicken breasts,barber foods stuffed chicken breasts,g,140,260
italian ice,italian ice,container,1,92.22
italian sub,italian sub,"6"" sub",1,531.5
lite italian,light italian dressing,tablespoon,1,15.3
light italian,light italian dressing,tablespoon,1,15.3
italian bread,Italian bread,"slice, medium",1,54.2
creamy italian,creamy italian dressing,tbsp,2,126.3
subway italian,subway italian b.m.t.,inch sub,6,531.5
italian hoagie,italian sub,"6"" sub",1,531.5
italian sausage,italian sausage,link,1,258
italian dressing,italian dressing,tbsp,1,35.28
fat free italian,fat free italian dressing,tbsp,2,13.16
italian seasoning,italian seasoning,tbsp,1,15.32
italian cream cake,cream cake,slice,1,413.21
hot italian sausage,hot italian sausage,link,1,258
italian pasta salad,pasta salad,cup,1,407.41
italian sub sandwich,italian sub,"6"" sub",1,531.5
sweet italian sausage,sweet italian sausage,link 3 oz,1,125.16
creamy italian dressing,creamy italian dressing,tbsp,2,126.3
subway 6 inch spicy italian,"subway spicy italian sub, 6""","6"" sub",1,480
olive garden italian dressing,olive garden italian dressing,tbsp,2,80
jambalaya,jambalaya,serving (about 2 cups),1,768.09
shrimp jambalaya,jambalaya,serving (about 2 cups),1,768.09
chicken jambalaya,jambalaya,serving (about 2 cups),1,768.09
chicken and shrimp jambalaya,jambalaya,serving (about 2 cups),1,768.09
chicken and sausage jambalaya,jambalaya,serving (about 2 cups),1,768.09
jelly,fruit jelly,tbsp,1,55.86
jellyfish,dried jellyfish,cup,1,20.88
jellybean,jelly beans,small,10,41.25
jelly tots,gum drops,cup gumdrops,1,720.72
peach jelly,peach jelly,tbsp,1,55.86
jelly candy,gum drops,cup gumdrops,1,720.72
grape jelly,grape jelly,tbsp,1,55.86
jelly donut,jelly doughnut,doughnut oval,1,289
jelly belly,jelly belly jelly beans,small,10,41.25
apple jelly,apple jelly,tbsp,1,55.6
cherry jelly,cherry jelly,tbsp,1,55.86
rasberry jelly,raspberry jelly,tbsp,1,55.86
