food_name,brand_name_item_name,brand_name,serving_unit,serving_qty,nf_calories
Dinner Rolls,Church's Chicken Dinner Rolls,Church's Chicken,order,1.0,60.0
"Fanta Orange, Regular","Church's Chicken Fanta Orange, Regular",Church's Chicken,drink,1.0,310.0
"Catfish Strips, Breaded","Heartland Catfish Catfish Strips, Breaded",Heartland Catfish,strips,2.0,180.0
Catfish,Chicken Shack Catfish,Chicken Shack,fillet,1.0,260.0
Catfish Fillets,Meijer Catfish Fillets,Meijer,oz,4.0,150.0
Fried Catfish,Buffets Fried Catfish,Buffets,piece,1.0,100.0
Catfish Filet,Popeye's Catfish Filet,Popeye's,pieces,2.0,460.0
Catfish Fillet,Unknown Catfish Fillet,Unknown,oz,4.0,100.0
Lunch Catfish,Woody's BBQ Lunch Catfish,Woody's BBQ,plating,1.0,200.0
Catfish Nuggets,Heartland Catfish Catfish Nuggets,Heartland Catfish,oz,4.0,120.0
Whole Catfish,Shoney's Whole Catfish,Shoney's,each,1.0,740.0
Catfish Po' Boy Sandwich,Popeye's Catfish Po' Boy Sandwich,Popeye's,sandwich,1.0,800.0
Catfish Sandwich,Wings To Go Catfish Sandwich,Wings To Go,grams,452.0,480.0
"Catfish, Blackened","K & W Cafeterias Catfish, Blackened",K & W Cafeterias,serving,1.0,300.0
"Fillets, Catfish","South Fresh Farms Fillets, Catfish",South Fresh Farms,oz,4.0,160.0
Delta Catfish,Red Hot & Blue Delta Catfish,Red Hot & Blue,serving,1.0,840.0
Catfish Fingers,Red Hot & Blue Catfish Fingers,Red Hot & Blue,serving,1.0,590.0
"Catfish, Fried","K & W Cafeterias Catfish, Fried",K & W Cafeterias,serving,1.0,550.0
Farm Raised Catfish Fillets,Meijer Farm Raised Catfish Fillets,Meijer,oz,4.0,153.0
Catfish Fillets Split,Unknown Catfish Fillets Split,Unknown,oz,4.0,100.0
Catfish Fry Mix,H-E-B Catfish Fry Mix,H-E-B,tbsp,1.0,40.0
"Fried Catfish, 3 Pieces","Texas Roadhouse Fried Catfish, 3 Pieces",Texas Roadhouse,Serving,1.0,530.0
"Whole Grain Chips, Harvest Cheddar","Sun Chips Whole Grain Chips, Harvest Cheddar",Sun Chips,package,1.0,210.0
"Whole Grain Chips, Garden Salsa","Sun Chips Whole Grain Chips, Garden Salsa",Sun Chips,package,1.0,210.0
"Potato Chips, Barbeque","Pop Chips Potato Chips, Barbeque",Pop Chips,chips,17.0,100.0
"Multigrain Snacks, Harvest Cheddar","Sun Chips Multigrain Snacks, Harvest Cheddar",Sun Chips,package,1.0,140.0
"Potato Chips, Sea Salt","Pop Chips Potato Chips, Sea Salt",Pop Chips,chips,19.0,100.0
Harvest Cheddar Multigrain Snack,Sun Chips Harvest Cheddar Multigrain Snack,Sun Chips,chips,14.0,140.0
"Cookies, Mini","Chips Ahoy! Cookies, Mini",Chips Ahoy!,pack,1.0,140.0
Classic Potato Chips,Lay's Classic Potato Chips,Lay's,package,1.0,160.0
"Whole Grain Chips, Original","Sun Chips Whole Grain Chips, Original",Sun Chips,package,1.0,210.0
Tortilla Chips,Tostitos Tortilla Chips,Tostitos,chips,24.0,150.0
"Tortilla Chips, Cool Ranch","Doritos Tortilla Chips, Cool Ranch",Doritos,package,1.0,150.0
"Nacho Cheese, Protein Chips","Quest Nacho Cheese, Protein Chips",Quest,bag,1.0,140.0
"Real Chocolate Chip Cookies, Original","Chips Ahoy Real Chocolate Chip Cookies, Original",Chips Ahoy,cookies,3.0,160.0
"Multigrain Snacks, French Onion","Sun Chips Multigrain Snacks, French Onion",Sun Chips,package,1.0,210.0
Chips Ahoy! Original Chip Cookies,Chips Ahoy Chips Ahoy! Original Chip Cookies,Chips Ahoy,cookies,3.0,160.0
"Ranch, Protein Chips","Quest Ranch, Protein Chips",Quest,bag,1.0,140.0
"Protein Chips, Loaded Taco Flavor","Quest Protein Chips, Loaded Taco Flavor",Quest,bag,1.0,140.0
French Onion Flavored Chips,Sun Chips French Onion Flavored Chips,Sun Chips,chips,15.0,140.0
"Cookie Butter Cookie, Milk Chocolate","Chocolate Chocolate Chocolate Cookie Butter Cookie, Milk Chocolate",Chocolate Chocolate Chocolate,bar,1.0,180.0
"Dark Chocolate, Sea Salt Caramel","Chocolate Chocolate Chocolate Dark Chocolate, Sea Salt Caramel",Chocolate Chocolate Chocolate,bar,1.0,80.0
Peanut Butter Pretzel,Chocolate Chocolate Chocolate Peanut Butter Pretzel,Chocolate Chocolate Chocolate,pieces,2.5,220.0
Milk Chocolate Covered Mini Pretzels,Chocolate Chocolate Chocolate Milk Chocolate Covered Mini Pretzels,Chocolate Chocolate Chocolate,pieces,5.0,140.0
Milk Pecan Tootles,Chocolate Chocolate Chocolate Milk Pecan Tootles,Chocolate Chocolate Chocolate,pieces,2.5,180.0
"Dark Chocolate, Peppermint Bark","Ghirardelli Chocolate Dark Chocolate, Peppermint Bark",Ghirardelli Chocolate,square,1.0,60.0
Intense Dark Chocolate,Ghiradelli Chocolate Intense Dark Chocolate,Ghiradelli Chocolate,square,1.0,60.0
"High Protein Shake, Chocolate","Premier Protein High Protein Shake, Chocolate",Premier Protein,shake,1.0,160.0
Dark Chocolate Covered Pretzels,Chocolatears Dark Chocolate Covered Pretzels,Chocolatears,pieces,11.0,190.0
Peanut Butter Powder Fit,Chocolate Peanut Butter Powder Fit,Chocolate,tbsp,2.0,70.0
"Pecan Clusters, Milk Chocolate Caramel","Chocolatears Pecan Clusters, Milk Chocolate Caramel",Chocolatears,pieces,2.0,210.0
White Chocolate Pretzels,Chocolatears White Chocolate Pretzels,Chocolatears,pieces,11.0,200.0
Milk Chocolate Pretzels,Chocolatears Milk Chocolate Pretzels,Chocolatears,pieces,11.0,200.0
Caramel Milk Chocolate Bar,World's Finest Chocolate Caramel Milk Chocolate Bar,World's Finest Chocolate,bar,1.0,180.0
"Squares, Dark Chocolate Mint","Ghirardelli Chocolate Squares, Dark Chocolate Mint",Ghirardelli Chocolate,square,1.0,70.0
Roasted California Almonds Covered in Milk Chocolate,World's Finest Chocolate Roasted California Almonds Covered in Milk Chocolate,World's Finest Chocolate,bar,1.0,190.0
Intense Dark Twilight Delight 72% Cacao,Ghirardelli Chocolate Intense Dark Twilight Delight 72% Cacao,Ghirardelli Chocolate,square,1.0,60.0
Beer Brittle,Anette's Chocolates Beer Brittle,Anette's Chocolates,oz,1.5,180.0
"Belgian Chocolate, Dark Orange Peel with White Blood Orange","Astor Chocolate Belgian Chocolate, Dark Orange Peel with White Blood Orange",Astor Chocolate,bar,1.0,310.0
Belgian Milk Chocolate,Astor Chocolate Belgian Milk Chocolate,Astor Chocolate,bar,1.0,290.0
"Chowder, Roasted Poblano Chowder","Unknown Chowder, Roasted Poblano Chowder",Unknown,oz,16.0,190.0
New England Clam Chowder,Progresso New England Clam Chowder,Progresso,cup,1.0,90.0
Clam Chowder,Humdingers Clam Chowder,Humdingers,bowl,1.0,230.0
Corn Chowder,Zippy's Corn Chowder,Zippy's,pouch,1.0,290.0
Cheeseburger Chowder,HyVee Cheeseburger Chowder,HyVee,cup,1.0,260.0
"Clam Chowder, Cup","Chili's Clam Chowder, Cup",Chili's,Serving,1.0,190.0
Roasted Poblano Chowder,O'Charleys Roasted Poblano Chowder,O'Charleys,serving,1.0,170.0
Tomato & Corn Chowder,Nutrisystem Tomato & Corn Chowder,Nutrisystem,container,1.0,200.0
Bacon Corn Chowder,Unknown Bacon Corn Chowder,Unknown,oz ladle,6.0,170.0
Baja Shrimp Chowder,Abuelo's Baja Shrimp Chowder,Abuelo's,Serving,1.0,590.0
"Clam Chowder, Large","Cosi Clam Chowder, Large",Cosi,oz,15.0,470.0
"Chowder, Shrimp & Corn","Giant Chowder, Shrimp & Corn",Giant,cup,1.0,260.0
"Clam Chowder, Bowl","Chili's Clam Chowder, Bowl",Chili's,Serving,1.0,370.0
"Clam Chowder, Regular","Cosi Clam Chowder, Regular",Cosi,oz,10.0,310.0
Moroccan Chowder,Heartland Harvest Moroccan Chowder,Heartland Harvest,cup cooked,1.5,183.0
Portsmouth Clam Chowder,Applebee's Portsmouth Clam Chowder,Applebee's,Serving,1.0,160.0
Shrimp & Corn Chowder,Fairway Shrimp & Corn Chowder,Fairway,cup,1.0,240.0
Seafood Chowder,Pizza Delight Seafood Chowder,Pizza Delight,portion,1.0,260.0
"Chunky Soup, New England Clam Chowder","Campbell's Chunky Soup, New England Clam Chowder",Campbell's,cup,1.0,180.0
Boston Clam Chowder Soup,Culver's Boston Clam Chowder Soup,Culver's,oz,11.0,260.0
Steamed Clams,Red Lobster Steamed Clams,Red Lobster,serving,1.0,900.0
Stuffed Clams,Captain Carl's Stuffed Clams,Captain Carl's,clam,1.0,90.0
Smoked Baby Clams,Pacific Friend Smoked Baby Clams,Pacific Friend,cup,0.33000001311302185,90.0
Kids Clams 'n Chips,Ivar's Kids Clams 'n Chips,Ivar's,grams,170.0,460.0
Chopped Clams,SeaWatch International Chopped Clams,SeaWatch International,cup,0.25,25.0
"Bumble Bee, Chopped Clams","Snow's Bumble Bee, Chopped Clams",Snow's,cup,0.25,25.0
Fancy whole baby clams,Bumble Bee Fancy whole baby clams,Bumble Bee,oz,2.0,45.0
Casse | Vongole - Clams,Pasta Pomodoro Casse | Vongole - Clams,Pasta Pomodoro,plating,1.0,600.0
Clams Entree with French Fries,Ivar's Clams Entree with French Fries,Ivar's,grams,383.0,940.0
Arthur Treacher's Clams & Chips Platter,Nathan's Famous Arthur Treacher's Clams & Chips Platter,Nathan's Famous,Serving,1.0,1270.0
Super Clams Entree with French Fries,Ivar's Super Clams Entree with French Fries,Ivar's,grams,458.0,1020.0
"Top Neck Clams, 12 Pieces","Nathan's Famous Top Neck Clams, 12 Pieces",Nathan's Famous,Serving,1.0,180.0
Angel Food Cake Loaf Clamshell,Markets of Meijer Angel Food Cake Loaf Clamshell,Markets of Meijer,piece,1.0,170.0
"Little Neck Clams, 12 Pieces","Nathan's Famous Little Neck Clams, 12 Pieces",Nathan's Famous,Serving,1.0,130.0
"Little Neck Clams, 6 Pieces","Nathan's Famous Little Neck Clams, 6 Pieces",Nathan's Famous,Serving,1.0,70.0
"Top Neck Clams, 6 Pieces","Nathan's Famous Top Neck Clams, 6 Pieces",Nathan's Famous,Serving,1.0,90.0
Linguine & Clams With White Sauce,Maggiano's Little Italy Linguine & Clams With White Sauce,Maggiano's Little Italy,Serving,1.0,1590.0
Linguine & Clams With Red Sauce,Maggiano's Little Italy Linguine & Clams With Red Sauce,Maggiano's Little Italy,Serving,1.0,1460.0
Large Linguini With Pesto And Clams,Amici's East Coast Pizzeria Large Linguini With Pesto And Clams,Amici's East Coast Pizzeria,Serving,1.0,2230.0
Small Penne With Pesto And Clams,Amici's East Coast Pizzeria Small Penne With Pesto And Clams,Amici's East Coast Pizzeria,Serving,1.0,1490.0
Peppermint Mocha Sugar Free Coffee Creamer,Nestle Coffee-mate Peppermint Mocha Sugar Free Coffee Creamer,Nestle Coffee-mate,tbsp,1.0,15.0
"Coffee Creamer, Pumpkin Spice","Nestle Coffee-mate Coffee Creamer, Pumpkin Spice",Nestle Coffee-mate,tbsp,1.0,15.0
"Coffee-mate Coffee Creamer, Hazelnut","Coffee-Mate Coffee-mate Coffee Creamer, Hazelnut",Coffee-Mate,tbsp,1.0,35.0
Hazelnut Coffee Creamer,Nestle Coffee-mate Hazelnut Coffee Creamer,Nestle Coffee-mate,tbsp,1.0,15.0
"Coffee-mate Coffee Creamer, French Vanilla","Coffee-Mate Coffee-mate Coffee Creamer, French Vanilla",Coffee-Mate,tsp,4.0,60.0
"Coffee-mate Coffee Creamer, The Original","Coffee-Mate Coffee-mate Coffee Creamer, The Original",Coffee-Mate,tsp,1.0,10.0
Frappuccino Chilled Coffee Drink,Starbucks Coffee Frappuccino Chilled Coffee Drink,Starbucks Coffee,bottle,1.0,290.0
"Coffee Creamer, French Vanilla","Nestle Coffee-mate Coffee Creamer, French Vanilla",Nestle Coffee-mate,tbsp,1.0,35.0
"Coffee-Mate, Coffee Creamer, French Vanilla","Nestle Coffee-Mate, Coffee Creamer, French Vanilla",Nestle,tbsp,1.0,35.0
"Coffee-Mate, Coffee Creamer, The Original Fat Free","Coffee-Mate Coffee-Mate, Coffee Creamer, The Original Fat Free",Coffee-Mate,tsp,1.0,10.0
"Coffee Creamer, Snickers","Coffee-Mate Coffee Creamer, Snickers",Coffee-Mate,tbsp,1.0,35.0
"Coffee Creamer, Coconut Creme","Coffee-Mate Coffee Creamer, Coconut Creme",Coffee-Mate,tbsp,1.0,35.0
"Coffee Creamer, French Vanilla, Sugar Free","Coffee-Mate Coffee Creamer, French Vanilla, Sugar Free",Coffee-Mate,tbsp,1.0,30.0
"Coffee Creamer, Sugar Free French Vanilla","Nestle Coffee-mate Coffee Creamer, Sugar Free French Vanilla",Nestle Coffee-mate,tbsp,1.0,15.0
"Coffee Creamer, The Original","Nestle Coffee-mate Coffee Creamer, The Original",Nestle Coffee-mate,tsp,1.0,10.0
"Coffee-Mate, Sugar Free Vanilla Caramel","Coffee-Mate Coffee-Mate, Sugar Free Vanilla Caramel",Coffee-Mate,tbsp,1.0,30.0
"Unsweetened Coffee Drink, Black Coffee","Wide Awake Coffee Co. Unsweetened Coffee Drink, Black Coffee",Wide Awake Coffee Co.,bottle,1.0,5.0
"Cookies, Minis, Fudge Stripes, Cookies, Minis, Fudge Stripes, Original","Keebler Cookies, Minis, Fudge Stripes, Cookies, Minis, Fudge Stripes, Original",Keebler,pouch,1.0,140.0
"Bar B Q Sauce, Western Bold Smokehouse","Cookies Bar B Q Sauce, Western Bold Smokehouse",Cookies,tbsp,2.0,35.0
"Bar ""B"" ""Q"" Sauce, Original Sweet & Smoky","Cookies Bar ""B"" ""Q"" Sauce, Original Sweet & Smoky",Cookies,tbsp,2.0,35.0
"Barbecue Sauce, Sweet Hickory","Cookies Barbecue Sauce, Sweet Hickory",Cookies,Tbs,2.0,70.0
"Cookies, Cake Bites","Lofthouse Cookies Cookies, Cake Bites",Lofthouse Cookies,cookies,2.0,120.0
Holiday Butter Cookies,Robert's Cookies Holiday Butter Cookies,Robert's Cookies,cookies,5.0,140.0
Chocolate Sandwich Cookies,Oreo Chocolate Sandwich Cookies,Oreo,pack,1.0,320.0
Chocolate Chip Cookies,David's Cookies Chocolate Chip Cookies,David's Cookies,oz,4.0,490.0
"Cookies, Black & White","Chris's Cookies Cookies, Black & White",Chris's Cookies,oz,1.0,100.0
"Cookies, Frosted Sugar Cookies","Lofthouse Cookies, Frosted Sugar Cookies",Lofthouse,cookie,1.0,160.0
"High Protein Shake, Cookies & Cream","Premier Protein High Protein Shake, Cookies & Cream",Premier Protein,shake,1.0,160.0
"Cookies, Chocolate Chunk","Chris's Cookies Cookies, Chocolate Chunk",Chris's Cookies,cookie,0.5,230.0
Holiday Sugar Cookies,Robert's Cookies Holiday Sugar Cookies,Robert's Cookies,cookies,5.0,140.0
"Sandwich Cookies, Vanilla","Benton's Cookies Grocery Sandwich Cookies, Vanilla",Benton's Cookies Grocery,cookies,2.0,150.0
Shortbread Cookies with Icing,Starfish Cookies Shortbread Cookies with Icing,Starfish Cookies,cookie,1.0,110.0
"Flip Yogurt, Cookies & Cream","Chobani Flip Yogurt, Cookies & Cream",Chobani,container,1.0,190.0
"Cookies, Frosted Mini Sugar Cookies","Lofthouse Cookies, Frosted Mini Sugar Cookies",Lofthouse,cookies,2.0,130.0
Pink Frosted Sugar Cookies,iBake Cookies Pink Frosted Sugar Cookies,iBake Cookies,cookies,1.0,150.0
"Popped Corn, Buttery Caramel Corn & Rich Cheddar Cheese Corn","G.H. Cretors Popped Corn, Buttery Caramel Corn & Rich Cheddar Cheese Corn",G.H. Cretors,cup,1.25,130.0
"Popped Corn, Cheddar Feel-Good","Pop Corners Popped Corn, Cheddar Feel-Good",Pop Corners,oz,1.0,120.0
"Corn Chips, Chili Cheese","Fritos Corn Chips, Chili Cheese",Fritos,package,1.0,160.0
Corn Muffin Mix,Jiffy Corn Muffin Mix,Jiffy,cup mix,0.25,160.0
The Original Corn Chips,Fritos The Original Corn Chips,Fritos,chips,32.0,160.0
Roasted Corn,Inka Corn Roasted Corn,Inka Corn,cup,0.33000001311302185,120.0
Crunchy Corn Cones,Cornados Crunchy Corn Cones,Cornados,oz,1.0,130.0
"Good Thins, The Corn One, Sea Salt, Gluten Free","Nabisco Good Thins, The Corn One, Sea Salt, Gluten Free",Nabisco,pieces,41.0,120.0
"Pop Corners, Carnival Kettle","Popcorners Pop Corners, Carnival Kettle",Popcorners,oz,1.100000023841858,140.0
Corn Chips,Fritos Corn Chips,Fritos,chips,10.0,160.0
Chili Cheese Cornbread,Baker's Corner Chili Cheese Cornbread,Baker's Corner,package,0.07999999821186066,150.0
Crunchy Corn Kernels,Corn Nuts Crunchy Corn Kernels,Corn Nuts,pack,1.0,220.0
Roasted Giant Corn,Inka Corn Roasted Giant Corn,Inka Corn,cup,0.25,100.0
"Corn Tortillas, White Corn","Marcela Valladolid Corn Tortillas, White Corn",Marcela Valladolid,tortillas,2.0,100.0
"Roasted Toasted Corn, Cheddar","Corn Nuggets Roasted Toasted Corn, Cheddar",Corn Nuggets,oz,1.0,130.0
Corn Flakes Cereal,Corn Flakes Corn Flakes Cereal,Corn Flakes,cup,1.0,100.0
100% Pure Corn oil,Corn Oil 100% Pure Corn oil,Corn Oil,tbsp,1.0,120.0
Cupcakes,Wegmans Cupcakes,Wegmans,cupcake,1.0,360.0
Carrot Cupcakes,Veggielicious Carrot Cupcakes,Veggielicious,cupcake,1.0,280.0
Cupcakes Box,Lir Cupcakes Box,Lir,g,100.0,541.9400024414062
Mini Cupcakes,Meijer Mini Cupcakes,Meijer,cupcakes,3.0,270.0
Swirly Cupcakes,Tastykake Swirly Cupcakes,Tastykake,cupcake,1.0,180.0
Gold Cupcakes,Giant Gold Cupcakes,Giant,cupcake,1.0,230.0
Snowflake Cupcakes,Ukrops Snowflake Cupcakes,Ukrops,cupcake,1.0,250.0
Chocolate Cupcakes,Mrs. Freshley's Chocolate Cupcakes,Mrs. Freshley's,package,1.0,400.0
"Cupcakes, Chocolate","Everyday Favorites Cupcakes, Chocolate",Everyday Favorites,cupcakes,3.0,320.0
Fun Character Cupcakes,Wegmans Fun Character Cupcakes,Wegmans,cupcake,1.0,510.0
Orange Burst Cupcakes,Schnucks Orange Burst Cupcakes,Schnucks,cupcake,1.0,280.0
Lemon Cupcakes,Archer Farms Lemon Cupcakes,Archer Farms,cupcake,1.0,350.0
Mini Gold Cupcakes,Giant Mini Gold Cupcakes,Giant,cupcakes,3.0,270.0
"Cupcakes, Vanilla","Sweet P's Cupcakes, Vanilla",Sweet P's,cupcakes,3.0,300.0
"Cupcakes, Gold","Everyday Favorites Cupcakes, Gold",Everyday Favorites,cupcakes,3.0,340.0
Squiggle Cupcakes,Crumbs Bake Shop Squiggle Cupcakes,Crumbs Bake Shop,cupcake,1.0,210.0
Vanilla Cupcakes,Kimberley's Bake Shoppe Vanilla Cupcakes,Kimberley's Bake Shoppe,cake,1.0,220.0
Vanilla Mini Cupcakes,Market Pantry Vanilla Mini Cupcakes,Market Pantry,cupcakes,3.0,300.0
Confetti Cupcakes,Mrs. Fields Grocery Confetti Cupcakes,Mrs. Fields Grocery,cup mix,0.25,170.0
"Cupcakes, Mini Strawberry","Flavorful Favorites Cupcakes, Mini Strawberry",Flavorful Favorites,cupcakes,3.0,330.0
Crab Classic Imitation Crab,Trans Ocean Crab Classic Imitation Crab,Trans Ocean,cup,0.5,80.0
Crabby Combo,Crabby Joe's Crabby Combo,Crabby Joe's,serving,1.0,2330.0
Crabby Apple Crumble,Crabby Joe's Crabby Apple Crumble,Crabby Joe's,serving,1.0,630.0
Crab Cake Sandwich,Joe's Crab Shack Crab Cake Sandwich,Joe's Crab Shack,serving,1.0,610.0
Crab Nachos,Joe's Crab Shack Crab Nachos,Joe's Crab Shack,serving,1.0,1880.0
Crab Rice,Joe's Crab Shack Crab Rice,Joe's Crab Shack,serving,1.0,160.0
"Flake Style Crab Deluxe, Imitation Crabmeat","Meijer Flake Style Crab Deluxe, Imitation Crabmeat",Meijer,cup,0.5,80.0
Crab Cake Dinner,Joe's Crab Shack Crab Cake Dinner,Joe's Crab Shack,serving,1.0,1230.0
Crab Stuffed Mushrooms,Joe's Crab Shack Crab Stuffed Mushrooms,Joe's Crab Shack,serving,1.0,650.0
"Crab Supreme, Imitation Crab","Transocean Products Crab Supreme, Imitation Crab",Transocean Products,cup,0.5,70.0
Jonah Crab Meat,Great Atlantic Crab Company Jonah Crab Meat,Great Atlantic Crab Company,g,85.0,70.0
Add On Crab Cake,Joe's Crab Shack Add On Crab Cake,Joe's Crab Shack,serving,1.0,390.0
Add On Snow Crab,Joe's Crab Shack Add On Snow Crab,Joe's Crab Shack,serving,1.0,70.0
Crab Cake Chipotle Caesar Salad,Joe's Crab Shack Crab Cake Chipotle Caesar Salad,Joe's Crab Shack,serving,1.0,850.0
Crab Sushi (Imitation Crab Meat),Asian Chao Crab Sushi (Imitation Crab Meat),Asian Chao,Pieces,2.0,170.0
Add On Dungeness Crab,Joe's Crab Shack Add On Dungeness Crab,Joe's Crab Shack,serving,1.0,80.0
Add On Queen Crab,Joe's Crab Shack Add On Queen Crab,Joe's Crab Shack,serving,1.0,60.0
Crazy Good Crab Dip,Joe's Crab Shack Crazy Good Crab Dip,Joe's Crab Shack,serving,1.0,1220.0
Kids Kid's Snow Crab,Joe's Crab Shack Kids Kid's Snow Crab,Joe's Crab Shack,serving,1.0,250.0
Kids Paint a Crab,Joe's Crab Shack Kids Paint a Crab,Joe's Crab Shack,serving,1.0,360.0
Kera Curry Sauce,Kerala Curry Kera Curry Sauce,Kerala Curry,cup,0.25,40.0
Organic Caribbean Curry,Curry Love Organic Caribbean Curry,Curry Love,cup,0.33000001311302185,90.0
Organic Tikka Masala,Curry Love Organic Tikka Masala,Curry Love,cup,0.33000001311302185,80.0
Red Thai Curry Paste,Mike's Organic Curry Love Red Thai Curry Paste,Mike's Organic Curry Love,grams,1.0,25.0
Organic Red Thai Curry,Curry Love Organic Red Thai Curry,Curry Love,cup,0.33000001311302185,100.0
Organic Yellow Thai Curry,Curry Love Organic Yellow Thai Curry,Curry Love,cup,0.33000001311302185,100.0
Kids Mini Yasai Katsu Curry with Curry Sauce,Wagamama Kids Mini Yasai Katsu Curry with Curry Sauce,Wagamama,order,1.0,420.0
Thai Curry Noodles with Green Curry Sauce,Juice Press Thai Curry Noodles with Green Curry Sauce,Juice Press,serving,1.0,220.0
"Rice & Curry, Mughlai Kofta Curry with Peas Pulao","Kohinoor Rice & Curry, Mughlai Kofta Curry with Peas Pulao",Kohinoor,pack,1.0,564.0
Curry,Uncle Ben's Curry,Uncle Ben's,container,1.0,350.0
Mild Curry,Dukboki Mild Curry,Dukboki,oz,5.639999866485596,286.0
Chicken Curry,Wegmans Chicken Curry,Wegmans,package,1.0,420.0
"Noodles, Curry","Sainsbury's Noodles, Curry",Sainsbury's,pot (prepared as directed with sauce sachet),1.0,385.9700012207031
Beef Curry & Rice,Morrisons Beef Curry & Rice,Morrisons,pack,1.0,548.8699951171875
Chicken Cashew Curry,Sukhi's Chicken Cashew Curry,Sukhi's,oz,5.0,200.0
Classic Curry Sauce,Bongiovi Classic Curry Sauce,Bongiovi,cup,1.0,70.0
Curry Powder,Member's Mark Curry Powder,Member's Mark,tsp,1.0,0.0
Curry Tofu,Magic Wok Curry Tofu,Magic Wok,order without rice,1.0,430.0
Curry Vinaigrette,Purebread Deli Curry Vinaigrette,Purebread Deli,serving,1.0,130.0
Indian Curry,Helen's Kitchen Indian Curry,Helen's Kitchen,oz,10.0,320.0
"Cereal For Baby, Rice, Stage 1","Beech-Nut Cereal For Baby, Rice, Stage 1",Beech-Nut,cup,0.25,60.0
Blueberry Cereal Bars,Nutri-Grain Blueberry Cereal Bars,Nutri-Grain,bar,1.0,120.0
"Cereal, Apples & Cinnamon","Sally's Cereals Cereal, Apples & Cinnamon",Sally's Cereals,pouch,1.0,150.0
Sweetened Wheatfuls Cereal,Mom's Best Cereals Sweetened Wheatfuls Cereal,Mom's Best Cereals,cup,1.0,210.0
"Cereal Bar, Chips Cereal + Leche","Costa Cereal Bar, Chips Cereal + Leche",Costa,g,21.0,93.0
"Cereal, Tasteeos, Toasted Oat Cereal","Foodtown Cereal, Tasteeos, Toasted Oat Cereal",Foodtown,cup,1.0,100.0
"Cereal, Blueberry Pomegranate","Peace Cereal Cereal, Blueberry Pomegranate",Peace Cereal,cup,0.6700000166893005,240.0
"Cereal, Original","Fiber One Cereal, Original",Fiber One,cup,0.5,60.0
"Cereal, Crispy Cocoa Rice","Mom's Best Cereals Cereal, Crispy Cocoa Rice",Mom's Best Cereals,cup,0.75,120.0
"Cereal, Toasted Cinnamon Squares","Mom's Best Cereals Cereal, Toasted Cinnamon Squares",Mom's Best Cereals,container,1.0,240.0
Original Cereal,Kashi Go Lean Original Cereal,Kashi Go Lean,cup,1.25,180.0
"Cereal, Cinnamon Plum, Organic","Sally's Cereals Cereal, Cinnamon Plum, Organic",Sally's Cereals,pouch,1.0,160.0
"Churchi Cereal, Choco Milkshake","Cosmic Cereal Churchi Cereal, Choco Milkshake",Cosmic Cereal,cup cosmic cereal,1.0,110.0
"Cereals, Red Berries","Kellogg's Cereals, Red Berries",Kellogg's,cup,1.25,140.0
Blueberries,Cereality Blueberries,Cereality,portion,1.0,10.0
Chocolate Syrup,Cereality Chocolate Syrup,Cereality,portion,1.0,100.0
Chicken Chimichanga,Holiday Chicken Chimichanga,Holiday,chimichanga,1.0,210.0
Cheesecake Chimichanga,Taco Bueno Cheesecake Chimichanga,Taco Bueno,oz.,2.0,210.0
"Chimichanga, Beef","Ground Round Chimichanga, Beef",Ground Round,Order,1.0,1080.0
Beef & Bean Chimichangas,Tina's Beef & Bean Chimichangas,Tina's,chimichanga,1.0,420.0
Chimichanga,El Molino Rojo Chimichanga,El Molino Rojo,g,142.0,270.0
"Chimichanga, Ground Beef","TacoTime Chimichanga, Ground Beef",TacoTime,oz.,12.5,650.0
Beef Chimichanga,Walmart Deli Beef Chimichanga,Walmart Deli,burrito,1.0,280.0
"Chimichanga, Chicken","Ground Round Chimichanga, Chicken",Ground Round,Order,1.0,1110.0
Chimichanga Steak & Cheese,Casa Mamita Chimichanga Steak & Cheese,Casa Mamita,chimichanga,1.0,320.0
"Chimichanga, Chicken & Cheese","Jose Ole Chimichanga, Chicken & Cheese",Jose Ole,chimichanga,1.0,240.0
Shredded Beef Chimichanga,Casa Ole Shredded Beef Chimichanga,Casa Ole,dinner,1.0,1460.0
Chimichanga Chicken & Cheese,Casa Mamita Chimichanga Chicken & Cheese,Casa Mamita,chimichanga,1.0,330.0
"Chimichangas, Beef & Bean","El Monterey Chimichangas, Beef & Bean",El Monterey,chimichanga,1.0,300.0
"Dessert Kit, Sweet Chimichanga","ASDA Dessert Kit, Sweet Chimichanga",ASDA,pack,0.25,344.17999267578125
Grande Chimichanga- Chicken,Chevys Fresh Mex Grande Chimichanga- Chicken,Chevys Fresh Mex,plating,1.0,1590.0
"Tijuana Chimichanga Filling, Carnitas","Tijuana Flats Tijuana Chimichanga Filling, Carnitas",Tijuana Flats,chimichanga portion,1.0,150.0
"Tijuana Chimichanga Topping, Jalapenos","Tijuana Flats Tijuana Chimichanga Topping, Jalapenos",Tijuana Flats,chimichanga portion,1.0,0.0
"Megajuana Chimichanga Filling, Steak","Tijuana Flats Megajuana Chimichanga Filling, Steak",Tijuana Flats,chimichanga portion,1.0,390.0
"Megajuana Chimichanga Topping, Jalapenos","Tijuana Flats Megajuana Chimichanga Topping, Jalapenos",Tijuana Flats,chimichanga portion,1.0,0.0
